dr inz.,Drapała,Jarosław,sr,17.05,18.45,,Identyfikacja systemów,D-2,333b,l
dr inz.,Drapała,Jarosław,sr,18.55,20.35,,Identyfikacja systemów,D-2,333b,l
dr inz.,Drapała,Jarosław,czw,9.15,11.00,p,Modelowanie i analiza systemów,D-1,311c,c
dr inz.,Drapała,Jarosław,czw,11.15,13.00,,Modelowanie i analiza systemów,B-4,445,l
dr inz.,Drapała,Jarosław,czw,13.15,15.00,,Modelowanie i analiza systemów,B-4,445,l
dr inz.,Drapała,Jarosław,czw,15.15,16.55,,Modele systemów dynamicznych,D-1,311c,c
dr inz.,Drapała,Jarosław,pt,13.15,15.00,,Modelowanie i analiza systemów,D-2,333b,l
dr inz.,Dubielewicz,Iwona,pn,11.15,13.00,p,Podstawy inżynierii oprogramowania,D-2,107b,l
dr inz.,Dubielewicz,Iwona,pn,11.15,13.00,n,Podstawy inżynierii oprogramowania,D-2,107b,l
dr inz.,Dubielewicz,Iwona,pn,13.15,15.00,p,Podstawy inżynierii oprogramowania,D-2,107b,l
dr inz.,Dubielewicz,Iwona,pn,13.15,15.00,n,Podstawy inżynierii oprogramowania,D-2,107b,l
dr inz.,Dubielewicz,Iwona,pn,17.05,18.45,n,Introduction Software Engineering,C-6,129,l
dr inz.,Dubielewicz,Iwona,pn,18.55,20.35,p,Introduction Software Engineering,C-6,129,l
dr inz.,Dubielewicz,Iwona,pn,18.55,20.35,n,Introduction Software Engineering,C-6,129,l
dr inz.,Dubielewicz,Iwona,wt,11.15,13.00,n,Introduction Software Engineering,B-4,440,l
dr inz.,Dubielewicz,Iwona,wt,13.15,15.00,,Podstawy inżynierii oprogramowania,B-4,409,w
dr inz.,Dubielewicz,Iwona,wt,15.15,16.55,p,Podstawy inżynierii oprogramowania,D-2,107b,l
dr inz.,Dubielewicz,Iwona,wt,15.15,16.55,n,Podstawy inżynierii oprogramowania,D-2,107b,l
dr inz.,Dubielewicz,Iwona,sr,9.15,11.00,p,Podstawy inżynierii oprogramowania,D-2,107b,l
dr inz.,Dubielewicz,Iwona,sr,13.15,15.00,,Podstawy inżynierii oprogramowania,D-1,30,w
dr inz.,Filcek,Grzegorz,pn,13.15,15.00,,Systemy wspomagania decyzji,B-1,408,p
dr inz.,Filcek,Grzegorz,pn,15.15,16.55,,Systemy wspomagania decyzji,B-1,408,p
dr inz.,Filcek,Grzegorz,pn,17.05,18.45,,Systemy wspomagania decyzji,B-1,408,p
dr inz.,Filcek,Grzegorz,pn,18.55,20.35,,Systemy wspomagania decyzji,C-6,128,p
dr inz.,Filcek,Grzegorz,wt,13.15,15.00,,Systemy wspomagania decyzji,D-2,127b,p
dr inz.,Filcek,Grzegorz,wt,15.15,16.55,,Systemy wspomagania decyzji,D-2,127b,p
dr inz.,Filcek,Grzegorz,sr,7.30,9.00,,Podstawy teorii decyzji i sterowania,D-2,127b,l
dr inz.,Filcek,Grzegorz,sr,11.15,13.00,,Podstawy teorii decyzji i sterowania,B-4,443,l
dr inz.,Filcek,Grzegorz,czw,13.15,15.00,,Informatyczne narzędzia w inżynierii syst,B-1,408,l
dr inz.,Filcek,Grzegorz,czw,15.15,16.55,,Computer Control Systems,D-2,107a,l
dr inz.,Filcek,Grzegorz,czw,17.05,18.45,,Computer Control Systems,D-2,107a,l
dr inz.,Filcek,Grzegorz,pt,7.30,9.00,,Systemy wspomagania decyzji,D-2,127b,p
dr inz.,Filcek,Grzegorz,pt,11.15,13.00,,Systemy wspomagania decyzji,B-1,408,p
dr inz.,Filcek,Grzegorz,pt,13.15,15.00,,Systemy wspomagania decyzji,B-1,408,p
